Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,ISSN,Favorites,Rating,Physical Location,Status,Status Incompleted Reason,Status Hidden,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Previously Owned,Up Next,Position,Uploaded Image URL,Activities
Quer pasticciaccio brutto de via Merulana,,,,,Carlo Emilio Gadda,"Gadda, Carlo Emilio",,,,,,Adelphi,,,2023,,,,Fiction,"Nel giro di pochi giorni, nel marzo del 1927, un furto di denaro e gioielli ai danni di una svaporata e fantasiosa vedova, la contessa Menegazzi, e poi l'omicidio della ricca, splendida e malinconica Liliana Balducci, sgozzata con ferocia inaudita, incrinano la decorosa quiete di un grigio palazzo abitato da pescecani, in via Merulana, come se una «vampa calda, vorace, avventatasi fuori dall'inferno» l'avesse d'improvviso investito - una vampa di cupidigia e brutale passione. Indaga su entrambi i casi, forse collegati, Francesco Ingravallo, perspicace commissario-filosofo e segreto ammiratore di Liliana: ma la sua livida, rabbiosa determinazione, il suo prodigioso intuito per il «quanto di erotia» che ogni delitto nasconde e le pressioni di chi pretende a ogni costo un colpevole da dare in pasto alla «moltitudine pazza» non basteranno ad aver ragione del disordine e del Male. L'inchiesta sui torbidi misteri del «palazzo dell'Oro» gli concederà, al più, la medesima, lacerante cognizione del dolore di Gonzalo Pirobutirro. Giallo abnorme, temerario, enigmatico, frutto della irresistibile attrazione che su Gadda esercitavano il romanzo e i crimini tenebrosi ma insieme di una tensione conoscitiva che finisce per travolgere ogni possibile plot, il Pasticciaccio è anche il ritratto di una città e di una nazione degradate dalla follia narcisistica del Tiranno, dove si riversa a ondate tumultuose una realtà perturbata e molteplice - e dove, a rappresentarla, sono convocate, in uno sforzo immane, tutte le risorse della nostra lingua, dei dialetti, delle scienze e delle tecniche.",,,,,,,,,,,370,,,,,,italiano,,,,,,9788845937644,,0,0.000000,,Unread,,0,,,,,,,,0,,,,,2024/10/25 10:35:04.251338958,,,,,,,,_tefzwEACAAJ,Personale,0,0,0,,,
Vincent Van Gogh,,1853-1890 visione e realtà,,,Info F. Walter,"Walter, Info F.",,,Adele Autuori-Drude,,,Benefit Taschen,,,,,,,Art,,,,,,,,,,,,95,,,,,,,,,,,,,,0,5.000000,,Unread,,0,,,,,,,,0,,,,,2024/11/02 00:24:47.823904037,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F9EA22D8-D5C9-4825-A9C2-375E03749754,
Barbaglio D’Argento E Altri Casi Raccontati In «Le Avventure Di Sherlock Holmes»,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,Nicoletta Rosati Bizzotto,,,,,,,,1892,,Mistery-Crime,,,,,,,,,,,,249,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/12/10 14:52:10.890535950,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/0E3D25D7-FD4E-41A2-872D-9A8A76CDC85D,
Il carbonchio azzurro,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,,,,RBA,,,,,1892,,Mistery-Crime,,,,,,,,,,,,285,,,,,,italiano,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/10/24 18:09:09.681427955,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/8ECC7D4B-A03C-42F2-BDC8-F1A244A04ADD,
Il mastino dei Baskerville,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,,,,RBA,,,,,1901,,Mistery-Crime,,,,,,,,,,,,316,,,,,,italiano,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/10/24 18:21:47.140061974,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/827FB51A-03BC-4FD4-A37B-2829C8EF09A2,
Il Problema Finale E Altri Casi Raccontati In «Le Memorie Di Sherlock Holmes»,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,Nicoletta Rosati Bizzotto,,,RBA,,,,,1893,,Mistery-Crime,,,,,,,,,,,,264,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/12/10 15:05:14.455927014,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/BA7347AA-9E32-4271-A89D-7E3979D609A0,
Il segno dei quattro,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,,,,RBA,,,,,1890,,Mistery-Crime,,,,,,,,,,,,,,,,,,italiano,,,,,,,,0,3.500000,Sez. 1 Scaf. 7 Fila Ant.,Read,,0,,2024/11/01,,,,,,0,,,,,2024/10/24 18:32:58.101623058,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4A6067D2-5078-40E6-99C9-F4045C7E3334,"[{""status"":0,""activityYear"":2024,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone di Dorella"",""type"":12,""addedDate"":""2024\/11\/01 20:14:55.376744985"",""activityDate"":""2024\/11\/01""}]"
La pietra di Mazarino e altri casi tratti da «Il taccuino di Sherlock Holmes»,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,Nicoletta Rosati Bizzotto,,,RBA,,,,,1921,,Mistery-Crime,,,,,,,,,,,,237,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/12/26 10:59:58.577731013,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CA2208A5-431C-4E9B-9BCC-EE2C195F144B,
La valle della paura,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,Nicoletta Rosati Bizzotto,,,RBA,,,,,1914,,Mistery-Crime,,,,,,,,,,,,302,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/12/26 10:56:06.324061989,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CDF8FE31-1F0B-4BCB-A7E5-CB7AEB5E2C97,
Three Gables e altri casi raccolti in «Il taccuino di Sherlock Holmes»,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,Nicoletta Rosati Bizzotto,,,RBA,,,,,1926,,Mistery-Crime,,,,,,,,,,,,206,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/12/26 11:03:26.885558962,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/687B078C-A1B9-4D26-BA99-4E6ED2F47065,
Uno scandalo in Boemia,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,,,,RBA,,,,,1891,,Mistery-Crime,,,,,,,,,,,,278,,,,,,italiano,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Ant.,Unread,,0,,,,,,,,0,,,,,2024/10/24 18:06:15.527730941,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/A559FCAB-BFF8-46A7-9F40-DFF528F32533,
Uno studio in rosso,,,The Strand Magazine - The Sherlock Holmes Collection,,Arthur Conan Doyle,"Doyle, Arthur Conan",,,,,,RBA,,,,,1887,,Mistery-Crime,,,,,,,,,,,,247,,,,,,italiano,,,,,,,,0,4.000000,Sez. 1 Scaf. 7 Fila Ant.,Read,,0,,2024/10/24,,,,,,0,,,,,2024/10/24 18:04:02.298560976,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/23D61301-5B3A-48F4-AC7B-7351B9127511,"[{""status"":0,""activityYear"":2024,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone di Dorella"",""type"":12,""addedDate"":""2024\/10\/24 18:04:02.347005963"",""activityDate"":""2024\/10\/24""}]"
Ascoltami,,,Le investigatrici,24,Tess Gerritsen,"Gerritsen, Tess",,,Sarà Crimi e Laura Tasso,,,Oggi,,,,,,,Crime,"Sofia Suarez, vedova tranquilla, infermiera amabile, vicina apprezzata da tutto il quartiere è stata assassinata a colpi di martello. Chi è stato? E perché? Se lo chiedono la detective della Omicidi di Boston Jane Rizzoli e il medico legale Maura Isles. Chi avrebbe potuto avercela con quella donna così mite e benvoluta? Nessuna pista sembra promettente, così Jane e Maura iniziano a scavare nel passato di Sofia, che si rivelerà essere diverso da quel che pareva... Nel frattempo Angela Riz-
zoli, madre di Jane che, oltre al sangue, condivide con la figlia il talento di percepire il pericolo prima di chiunque altro, ha la netta sensazione che dei semplici pettegolezzi che girano nel quartiere nascondano in realtà qualcosa di inquietante: i nuovi inquilini dell'appartamento di fronte, la ragazza fuggita dalla casa in fondo all'isolato e altri piccoli eventi potrebbero essere collegati tra loro. Jane fatica a credere alle congetture della madre, nota per la sua fervida immaginazione e il gusto per la tragedia. E così Angela si ritroverà a indagare da sola sui vicini, temendo che tra loro ci sia un lupo in agguato, mentre Jane e Maura, assorbite dal loro caso, rischiano di non udire in tempo le sue grida di avvertimento...",,,,,,,,,,,302,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Post.,Unread,,0,,,,,,,,0,,,,,2024/10/31 15:49:09.393039941,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/0E1D6620-484B-4DB7-A088-20483C5D314A,
Aurora nel buio,,,Le investigatrici,11,Barbara Baraldi,"Baraldi, Barbara",,,,,,Oggi e Giunti,,,,,,,Crime,"Aurora Scalviati era la migliore, fino al giorno di quel conflitto a fuoco, quando un proiettile ha raggiunto la sua testa. Da allora, la più brava profiler della polizia italiana sofire di un disturbo bipolare che cerca di dominare attraverso i farmaci e le sedute clandestine di una terapia da molti considerata bar-bara: l'elettroshock. Quando per motivi disciplinari Aurora viene trasferita in una tranquilla cittadina dell'Emilia, si trova di fronte a uno scenario diverso da come lo immaginava. Proprio la notte del suo arrivo, una donna viene uccisa. Il marito è scomparso e l'assassino ha rapito la loro bambina, Aprile, di nove anni. Su una parete della casa, una scritta tracciata col sangue della vittima: «Tu non farai alcun male». Aurora è certa che si tratti dell'opera di un killer che ha già ucciso in passato e che quella scritta sia un indizio che può condurre alla bimba, una specie di ultimatum... Ma nessuno la ascolta.
Presto Aurora capirà di dover agire al di fuori delle regole, perché solo fidandosi del proprio intuito potrà dissipare la coltre di nebbia che avvolge ogni cosa. Solo affrontando i demoni della propria mente potrà salvare la piccola Aprile ed
evitare nuove morti...",,,,,,,,,,,463,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Post.,Unread,,0,,,,,,,,0,,,,,2024/10/30 23:37:22.113754987,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CB874932-AC68-441B-8ADD-2C0219C83315,
Come piante tra i sassi,,,Le investigatrici,9,Mariolina Venezia,"Venezia, Mariolina",,,,,,Oggi,,,,,,,Crime,"Nella quiete sorniona di un sabato mattina in ufficio, mentre Matera si prepara al rituale dello struscio pomeridiano, una telefonata raggiunge il Sostituto Procuratore Imma Tataran-ni. ""Pensò immediatamente a Valentina, che doveva essere appena uscita da scuola e in quei giorni stava piantando una grana. Invece le dissero che avevano ucciso un ragazzo, a Nova Siri"". Imma per mestiere ha a che fare abitualmente coi morti ammazzati; ma se a morire è un coetaneo di sua figlia, a poco a poco la madre e il procuratore si scopriranno facce della stessa medaglia che finiranno per confondersi e alimentarsi l'un l'altra. L'indagine del procuratore - con le sue tecniche, le sue dinamiche, le rivalità antiche e nuove - pagina dopo pagina assume infatti i contorni del viaggio di una madre alla scoperta di un mistero più importante e profondo: chi sono i nostri figli, che cosa vogliono, che possibilità hanno di questi tempi? In una comunità chiusa del Mezzogiorno italiano, fra dicerie superficiali e misfatti sepolti dalla terra arsa dal sole, Imma scru-ta, interroga, immagazzina dati: qualche volta inciampa, come sugli irrinunciabili tacchi alti, qualche volta, proprio come con quelli, riesce a ergere lo sguardo oltre l'apparenza dei fatti.",,,,,,,,,,,237,,,,,,,,,,,,,,0,3.500000,Sez. 1 Scaf. 7 Fila Post.,Read,,0,,2024/10/30,,,,,,0,,,,,2024/10/30 23:15:14.152547955,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B9E43406-4156-49A4-8306-DC5A72F4AFA8,"[{""status"":0,""activityYear"":2024,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone di Dorella"",""type"":12,""addedDate"":""2024\/10\/30 23:15:14.164994001"",""activityDate"":""2024\/10\/30""}]"
Dieci piccoli indizi,,,Le investigatrici,29,Joy Ellis,"Ellis, Joy",,,Micol Cerato,,,Oggi,,,,,,,Crime,"Nikki Galena è una detective in gamba, ma non gioca secondo le regole. Di certo non quando ha a che fare con i malviventi responsabili di aver ridotto in fin di vita sua figlia. È anche una donna solitaria, per niente brava nel gioco di squadra. E invece è costretta a lavorare in coppia con Joseph Easter, l'ultimo arrivato alla Centrale, preceduto da una pessima reputazione.
Insieme dovranno affrontare due casi apparentemente sem-plici, destinati però a mettere a dura prova le loro abilità di investigatori. La città è infatti terrorizzata da gruppi violenti che indossano delle maschere: a Galena e Easter il compito di sventare quei balordi. Ma quello che con grande fatica riusciranno a scoprire avrà il volto dell'orrore. Un incubo al di là di ogni possibile immaginazione...",,,,,,,,,,,317,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Post.,Unread,,0,,,,,,,,0,,,,,2024/10/31 17:17:41.254454016,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4F31E68F-520E-43CD-B6A3-F776509C6E6C,
Gli onori di casa,,,Le investigatrici,6,Alicia Giménez-Bartlett,"Giménez-Bartlett, Alicia",,,Maria Nicola,,,Oggi,,,,,,,Crime,"L'ispettrice Petra Delicado e il suo aiutante Fermín Garzón sono in trasferta a Roma. È stata riaperta una vecchia indagine le cui tracce portano proprio in Italia. I due sono ben contenti della novità. Si tratta di una storia che parte da lontano: un facoltoso imprenditore di Barcellona, Adolfo Siguan, con un debole per le giovani prostitute, rimane vittima di una coppia diabolica, che lo narcotizza per svaligiargli l'appartamento e finisce per ucciderlo sfondandogli la testa. Con l'arresto di Julieta, la ragazza che ha adescato Adolfo, e la morte violenta del suo protettore, il caso pare ormai chiuso, anche se la ragazza giura che non è stato il suo uomo a commettere il delitto ma un misterioso italiano scomparso nel nulla. Passano cinque anni. L'ancor giovane vedova della vittima, che non è mai stata persuasa dall'esito delle indagini, ottiene la riapertura del caso. E qui che entrano in azione Petra e Fermín, che dopo avere fortunosamente rintracciato l'ex prostituta Julieta, ormai riabilitata e uscita di prigione, riescono a farsi rivelare il nome dell'italiano. Sbarcati a Fiumicino, si ritrovano affiancati da due pari grado: un ispettore di Polizia e la sua giovane assistente. L'indagine è più intricata del previsto, piena di avventure e con un drammatico colpo di scena: Petra questa volta rischia davvero.",,,,,,,,,,,383,,,,,,,,,,,,,,0,0.000000,Sez. 1 Scaf. 7 Fila Post.,Unread,,0,,,,,,,,0,,,,,2024/10/30 23:05:17.770020961,,,,,,,,,Personale,0,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/2BDDC29F-5302-4448-86A4-55C8413843FC,
